"","Age","G","PA","AB","R","H","X2B","X3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","TB","GDP","HBP","SH","SF","IBB","Promoted"
"321",25,35,138,121,10,24,6,0,4,13,0,2,9,37,0.198,0.27,0.347,0.617,42,3,4,1,3,0,1
"322",30,69,259,231,20,48,13,2,3,19,2,1,16,43,0.208,0.268,0.32,0.588,74,3,4,5,3,0,1
"323",32,117,387,363,46,91,20,4,10,39,18,3,15,78,0.251,0.285,0.411,0.695,149,4,3,4,2,4,0
"324",32,25,100,95,9,25,8,0,1,12,0,0,1,21,0.263,0.283,0.379,0.662,36,3,2,1,1,0,1
"325",25,124,513,464,72,129,23,9,11,40,16,7,29,72,0.278,0.332,0.438,0.77,203,5,10,7,3,0,1
"326",26,49,143,129,10,36,5,0,0,16,1,0,12,26,0.279,0.336,0.318,0.654,41,2,0,0,2,0,0
"327",23,67,276,258,41,85,22,0,18,50,3,1,15,57,0.33,0.362,0.624,0.986,161,5,0,0,3,1,1
"328",25,100,392,347,35,78,12,1,6,35,0,0,36,89,0.225,0.302,0.317,0.619,110,7,4,1,4,0,1
"329",28,21,58,55,5,9,3,0,0,1,0,0,3,17,0.164,0.207,0.218,0.425,12,1,0,0,0,0,0
"330",33,30,111,101,6,24,3,0,2,13,0,0,9,27,0.238,0.297,0.327,0.624,33,2,0,0,1,1,0
"331",25,96,419,357,60,114,17,2,3,44,13,4,51,80,0.319,0.405,0.403,0.809,144,7,4,2,5,4,1
"332",23,84,316,299,27,76,23,0,9,30,1,0,12,63,0.254,0.294,0.421,0.716,126,10,5,0,0,2,0
"333",26,36,122,109,8,15,3,0,1,7,0,0,12,33,0.138,0.221,0.193,0.414,21,4,0,0,1,0,0
"334",24,16,56,51,4,13,2,0,1,4,1,0,3,16,0.255,0.321,0.353,0.674,18,0,2,0,0,0,0
"335",27,90,359,303,43,70,12,0,15,51,1,0,51,84,0.231,0.34,0.419,0.759,127,7,1,0,4,5,0
"336",27,87,331,301,52,80,16,0,17,52,0,1,25,74,0.266,0.326,0.488,0.815,147,5,3,0,2,1,1
"337",24,129,412,355,40,95,19,2,5,44,7,4,44,43,0.268,0.355,0.375,0.729,133,3,6,3,4,2,1
"338",24,117,503,445,60,121,23,1,10,47,2,0,43,75,0.272,0.334,0.396,0.73,176,18,0,12,3,2,1
"339",24,131,500,448,61,104,16,3,11,63,7,4,41,74,0.232,0.292,0.355,0.647,159,6,0,4,7,1,1
"340",30,84,306,263,32,68,9,0,2,25,1,3,34,39,0.259,0.35,0.316,0.665,83,9,5,0,4,0,0
"341",28,21,80,72,10,18,3,1,5,16,0,1,8,17,0.25,0.325,0.528,0.853,38,3,0,0,0,0,1
"342",27,18,80,70,15,21,4,2,0,3,5,0,8,15,0.3,0.388,0.414,0.802,29,2,2,0,0,0,1
"343",26,31,124,112,9,31,8,1,0,12,0,0,8,24,0.277,0.325,0.366,0.691,41,10,1,1,2,0,1
"344",30,136,516,457,70,128,34,5,11,58,37,9,51,99,0.28,0.358,0.449,0.807,205,16,5,2,1,3,0
"345",27,42,170,147,27,45,9,2,2,17,7,4,17,40,0.306,0.377,0.435,0.813,64,2,1,3,2,2,1
"346",34,113,439,398,65,109,17,2,6,42,12,3,37,60,0.274,0.336,0.372,0.708,148,7,1,1,2,1,0
"347",25,52,155,132,10,37,9,0,1,18,0,0,22,26,0.28,0.387,0.371,0.758,49,4,1,0,0,1,0
"348",26,37,165,143,24,40,2,1,1,4,18,7,12,34,0.28,0.338,0.329,0.666,47,0,1,8,1,0,1
"349",24,65,282,243,30,73,22,4,3,32,5,0,33,32,0.3,0.381,0.461,0.842,112,7,1,1,4,2,1
"350",25,44,176,146,22,38,6,0,6,22,0,0,23,37,0.26,0.375,0.425,0.8,62,8,5,0,2,0,1
"351",26,30,118,102,5,13,3,0,0,5,0,0,14,23,0.128,0.246,0.157,0.403,16,0,2,0,0,0,1
"352",33,42,127,120,6,27,6,0,0,8,0,0,6,28,0.225,0.268,0.275,0.543,33,5,1,0,0,0,0
"353",29,27,77,69,6,19,4,0,1,7,0,0,5,12,0.275,0.325,0.377,0.702,26,2,1,0,2,0,0
"354",28,60,170,158,10,38,9,1,2,13,1,0,9,20,0.241,0.278,0.348,0.626,55,4,0,1,2,0,0
"355",23,106,467,407,66,104,22,12,15,47,27,5,47,158,0.256,0.338,0.479,0.817,195,1,6,2,5,1,1
"356",29,93,324,301,33,78,20,0,7,40,0,1,17,54,0.259,0.293,0.395,0.689,119,7,0,0,6,1,1
"357",22,70,284,257,48,88,18,2,23,62,2,2,23,52,0.342,0.405,0.697,1.101,179,10,4,0,0,2,1
"358",26,27,115,107,11,31,5,0,4,24,0,0,7,18,0.29,0.33,0.449,0.779,48,1,0,0,1,1,0
"359",25,133,550,500,50,133,26,4,7,54,15,6,36,73,0.266,0.314,0.376,0.69,188,13,2,6,6,1,1
"360",30,113,375,329,38,79,16,1,1,13,9,5,34,66,0.24,0.313,0.304,0.617,100,5,2,8,2,4,0
"361",26,58,246,211,38,64,17,1,8,31,1,1,28,50,0.303,0.378,0.507,0.885,107,3,1,0,6,1,1
"362",22,110,452,415,54,126,32,2,17,68,6,3,30,77,0.304,0.356,0.513,0.87,213,8,5,0,2,4,1
"363",27,68,254,230,34,66,19,0,5,33,3,2,18,45,0.287,0.348,0.435,0.783,100,11,4,1,1,1,0
"364",26,115,447,393,62,119,18,5,5,47,13,3,41,82,0.303,0.376,0.412,0.788,162,9,6,5,2,2,0
"365",29,62,254,225,37,64,15,2,8,41,0,1,20,46,0.284,0.347,0.476,0.822,107,6,4,0,5,2,0
